id,ticket_id,category1_id,category1_name,category2_id,category2_name,product_name,units,total_amount
15438,27174691,5,nuts_seeds,50,nuts_dried_fruits,PISTACHO6%-F.ROJOS6X,1.0,1.99
15439,27174691,12,home,29,food_conservation,BOLSA PLASTICO,2.0,0.3
15440,27174691,19,breakfast_cereals,56,pastry_sweet_bakery,CROISSANT MANTEQUILL,3.0,0.87
15441,27174691,19,breakfast_cereals,56,pastry_sweet_bakery,NAPO 3 CHOCO,2.0,1.4
15442,27174691,3,fruits_vegetables,30,fresh_fruits,T. BLANCO LIMON,1.0,1.45
15443,27174691,7,chocolate_sweets,16,chocolate_derivatives,T.CHOCO ALMENDRA,1.0,1.65
15444,27174691,0,prepared_foods,31,fresh_prepared,CORTADO A CUCHILLO,1.0,10.75
15445,27174691,0,prepared_foods,31,fresh_prepared,CORTADO A CUCHILLO,1.0,8.75
15446,27174691,1,bakery,7,bakery / pastry,PAN TRIGO ESPELTA,1.0,1.25
15447,27174691,3,fruits_vegetables,72,transformed_vegetables,ENSALADILLA RUSA,1.0,3.0
15448,27174691,20,baby,5,baby_food,YOGOMIX NATURAL BOLI,2.0,1.8
15449,27174691,18,non_alcoholic_drinks,61,soda,ISOTONICO LIGHT,1.0,1.72
15450,27157585,2,oil_dressings_spices,63,spices_dressings_sauces,NOQUIS PESTO,2.0,3.4
15451,27157585,19,breakfast_cereals,12,breakfast_cereals,ALL BRAN CHOCO,1.0,2.85
15452,27157585,6,coffee_cacao_infusions,69,tea_infusions,MANZANILLA,1.0,0.4
15453,27157585,8,dairy,14,cheese,QUESO FRESCO BURGOS,1.0,1.43
15454,27157585,4,meat_fish,71,transformed_meat,CHORIZO 4PACK,1.0,1.43
15455,27157585,6,coffee_cacao_infusions,69,tea_infusions,TE VERDE,1.0,0.65
15456,27157585,3,fruits_vegetables,30,fresh_fruits,PINA UVA,1.0,0.58
15457,27157585,8,dairy,48,milk,LECHE CONDENSADA S/F,1.0,1.3
15458,27157585,0,prepared_foods,33,frozen_prepared,BARRA DE PAN,1.0,0.45
15459,27157585,8,dairy,13,butter_cream,MANTEQUILLA LIGHT,1.0,2.2
15460,27157585,18,non_alcoholic_drinks,61,soda,COLA NORMAL LATA,4.0,1.04
15461,27157585,17,alcoholic_drinks_spirits,53,other_alcohol,CAVA BRUT,1.0,1.7
15462,27157585,17,alcoholic_drinks_spirits,53,other_alcohol,CAVA SEMI SECO,1.0,1.7
15463,27157585,8,dairy,14,cheese,TEQUEÑOS DE QUESO,1.0,4.0
15464,27157585,3,fruits_vegetables,30,fresh_fruits,UVA BLANCA S/SEM,1.0,2.26
15465,27284536,11,snacks_appetizers,2,appetizers,PATATAS FRITAS SAL,1.0,1.4
15466,27284536,3,fruits_vegetables,70,transformed_fruits,MELOCOTON ALM PACK 3,1.0,1.8
15467,27284536,3,fruits_vegetables,30,fresh_fruits,UVA BLANCA S/SEM,1.0,2.28
15468,27284536,3,fruits_vegetables,32,fresh_vegetables,RUCULA 50 G,1.0,0.75
15469,27284536,4,meat_fish,71,transformed_meat,CODILLO JAMON ENTERO,1.0,1.79
15470,27284536,4,meat_fish,28,fish,CARNE DE MEJILLON,2.0,4.4
15471,27284536,3,fruits_vegetables,30,fresh_fruits,AGUACATE BANDEJA,1.0,2.16
15472,27284536,3,fruits_vegetables,32,fresh_vegetables,ROMERO,1.0,1.15
15473,27284536,4,meat_fish,28,fish,CALAMAR TROCEADO,1.0,3.95
15474,27284536,4,meat_fish,28,fish,ATUN CLARO OLIVA PK6,1.0,3.95
15475,27284536,2,oil_dressings_spices,63,spices_dressings_sauces,SALSA COCKTAIL 460ML,1.0,1.25
15476,27284536,2,oil_dressings_spices,45,mayonnaise,LIGERESA CRISTAL,1.0,1.99
15477,27284536,3,fruits_vegetables,30,fresh_fruits,UVA BLANCA S/SEM,1.0,2.29
15478,27284536,3,fruits_vegetables,32,fresh_vegetables,T.CHERRY 500 GR,2.0,2.98
15479,27284536,8,dairy,13,butter_cream,NATA MONTAR,2.0,2.0
15480,27284536,8,dairy,38,icecream_frozen_desserts,HELADO VAINILLA,2.0,2.7
15481,27284536,0,prepared_foods,62,soups,CALDO POLLO,2.0,1.5
15482,27284536,0,prepared_foods,31,fresh_prepared,TORTILLA PAT C/CEB,1.0,1.8
15483,27284536,21,pet_care,1,animals,COURMET MAXI,1.0,1.65
15484,27284536,3,fruits_vegetables,72,transformed_vegetables,1 CORAZON ROMANA,1.0,1.0
15485,27284536,1,bakery,7,bakery / pastry,BAGUETTE,1.0,0.4
15486,27284536,3,fruits_vegetables,70,transformed_fruits,PINA PELADA NATURAL,1.0,2.76
15487,27284536,3,fruits_vegetables,32,fresh_vegetables,ZANAHORIA BOLSA,1.0,0.65
15488,27284536,3,fruits_vegetables,70,transformed_fruits,PINA PELADA NATURAL,1.0,2.84
15489,27284536,13,personal_care,8,bath_shower,COPA REUTILIZABLE,3.0,4.8
15490,27284536,11,snacks_appetizers,2,appetizers,MAZORQUITAS DE MAIZ,1.0,1.8
15491,27284536,2,oil_dressings_spices,63,spices_dressings_sauces,HUMMUS CLASICO,1.0,1.1
15492,27284536,19,breakfast_cereals,10,biscuits,GALLETA CARAMELIZADA,1.0,1.25
15493,27284536,12,home,19,cleaning_products,AMONIACO C/DETERGENT,1.0,0.85
15494,27284536,22,sugar_sweeteners,66,sugar_sweeteners,AZUCAR MORENO PANELA,1.0,1.8
15495,27284536,1,bakery,7,bakery / pastry,PANETTONE CLASICO,1.0,2.7
15496,27284536,4,meat_fish,71,transformed_meat,PALETA CURADA LONCHA,1.0,3.65
15497,27284536,9,pasta_rice_legumes,55,pasta_rice_cereals,PIRONES,2.0,4.5
