ticket_id,user_id,retailer,payment_method,date,ticket_amount
27174691,190823,Mercadona,TAR,2021-12-30 20:03:00,34.93
27157585,338891,Mercadona,TAR,2021-12-30 18:38:00,25.39
27284536,582472,Mercadona,EFE,2021-12-30 17:26:00,111.3
27222883,417965,Mercadona,TAR,2021-12-30 15:49:00,9.26
27126925,232124,Mercadona,TAR,2021-12-30 15:20:00,35.54
27266368,3799777,Mercadona,EFE,2021-12-30 15:20:00,3.88
27125320,3810901,Mercadona,TAR,2021-12-30 14:39:00,18.04
27285931,3720733,Mercadona,TAR,2021-12-30 13:56:00,86.63
27080731,2621290,Mercadona,TAR,2021-12-30 13:53:00,15.74
27076576,2731590,Mercadona,TAR,2021-12-30 12:47:00,15.700000000000001
27160360,3685046,Mercadona,TAR,2021-12-30 12:42:00,23.74
27052570,1256565,Mercadona,TAR,2021-12-30 12:16:00,12.98
27159388,3685046,Mercadona,EFE,2021-12-30 10:32:00,7.79
27115171,115683,Mercadona,TAR,2021-12-30 09:29:00,28.840000000000003
27266911,3806322,Mercadona,TAR,2021-12-30 09:26:00,2.22
27106465,3758653,Mercadona,TAR,2021-12-29 17:18:00,41.19
27062011,1217828,Mercadona,TAR,2021-12-29 16:13:00,47.8
27110461,2699685,Mercadona,TAR,2021-12-29 14:51:00,58.14
27030012,212922,Mercadona,TAR,2021-12-29 13:02:00,11.41
27019728,1303091,Mercadona,TAR,2021-12-29 11:37:00,56.73
27017421,908850,Mercadona,EFE,2021-12-29 11:06:00,17.71
27025218,417965,Mercadona,TAR,2021-12-29 10:59:00,36.75
27001416,1049920,Mercadona,TAR,2021-12-28 20:39:00,96.97
27013539,910844,Mercadona,TAR,2021-12-28 20:00:00,57.33
27010524,3804066,Mercadona,EFE,2021-12-28 18:21:00,0.26
27008022,1033673,Mercadona,TAR,2021-12-28 17:18:00,53.42
27007965,1033673,Mercadona,TAR,2021-12-28 17:18:00,59.53
26983923,1217828,Mercadona,EFE,2021-12-28 16:29:00,77.16
27052375,1256565,Mercadona,TAR,2021-12-28 14:27:00,38.1
26977476,1127665,Mercadona,TAR,2021-12-28 14:19:00,14.84
27229648,3806124,Mercadona,TAR,2021-12-28 12:48:00,5.4
28894666,3913276,Mercadona,TAR,2021-12-28 00:00:00,92.7
26947230,3790783,Mercadona,TAR,2021-12-27 19:57:00,23.11
26951928,3728236,Mercadona,TAR,2021-12-27 19:38:00,22.09
26965707,508394,Mercadona,TAR,2021-12-27 18:28:00,41.47
26843860,149716,Mercadona,EFE,2021-12-27 16:53:00,14.3
26814460,2305393,Mercadona,TAR,2021-12-27 15:12:00,4.6
26741380,908850,Mercadona,EFE,2021-12-27 10:15:00,11.12
26684821,935254,Mercadona,TAR,2021-12-24 17:44:00,9.06
26672548,921029,Mercadona,TAR,2021-12-24 17:04:00,25.62
26658787,2813775,Mercadona,TAR,2021-12-24 13:53:00,7.6000000000000005
26660206,292713,Mercadona,TAR,2021-12-24 13:49:00,8.62
26657788,935254,Mercadona,TAR,2021-12-24 13:34:00,27.03
26735932,3426372,Mercadona,TAR,2021-12-24 13:21:00,15.43
26653411,1033159,Mercadona,EFE,2021-12-24 13:12:00,8.95
26653225,1776886,Mercadona,TAR,2021-12-24 13:11:00,44.97
26653153,1776886,Mercadona,TAR,2021-12-24 13:11:00,44.97
26694169,2627030,Mercadona,EFE,2021-12-24 13:09:00,76.91
26694013,2627030,Mercadona,EFE,2021-12-24 13:09:00,76.91
26669191,3761113,Mercadona,TAR,2021-12-24 13:08:00,4.34
26675092,995893,Mercadona,EFE,2021-12-24 12:56:00,25.06
26669899,3771676,Mercadona,EFE,2021-12-24 12:44:00,5.12
26649721,319418,Mercadona,EFE,2021-12-24 12:20:00,54.26
26650072,1029847,Mercadona,EFE,2021-12-24 12:15:00,22.16
26646499,186648,Mercadona,TAR,2021-12-24 12:02:00,70.21000000000001
26656597,2700235,Mercadona,TAR,2021-12-24 11:46:00,147.44
26642089,2704680,Mercadona,TAR,2021-12-24 11:26:00,16.07
26627851,2396274,Mercadona,TAR,2021-12-23 21:01:00,4.88
26616964,286036,Mercadona,TAR,2021-12-23 20:49:00,5.25
26668252,1122521,Mercadona,TAR,2021-12-23 20:18:00,28.47
26646808,2649850,Mercadona,TAR,2021-12-23 18:00:00,87.0
26595487,2625170,Mercadona,TAR,2021-12-23 16:27:00,7.59
26546932,2283924,Mercadona,TAR,2021-12-23 12:29:00,212.48
26645035,115683,Mercadona,EFE,2021-12-23 11:55:00,22.04
26710162,1776886,Mercadona,EFE,2021-12-23 10:35:00,7.08
26495794,3710071,Mercadona,EFE,2021-12-22 19:07:00,13.1
26485927,3711829,Mercadona,TAR,2021-12-22 15:22:00,5.3
26467063,921029,Mercadona,TAR,2021-12-22 14:01:00,4.5600000000000005
26468092,3387727,Mercadona,TAR,2021-12-22 14:00:00,26.4
26467993,3387727,Mercadona,TAR,2021-12-22 14:00:00,18.62
26459974,3729361,Mercadona,EFE,2021-12-22 12:09:00,33.03
26743519,3266742,Mercadona,TAR,2021-12-22 11:38:00,124.35
28104745,3910657,Mercadona,TAR,2021-12-22 10:16:00,13.450000000000001
26453602,508394,Mercadona,TAR,2021-12-21 18:09:00,46.63
26428969,3758653,Mercadona,TAR,2021-12-21 16:37:00,19.51
26421838,921029,Mercadona,TAR,2021-12-21 14:25:00,3.2800000000000002
26494111,3769471,Mercadona,EFE,2021-12-21 13:44:00,16.419999999999998
26384578,3759322,Mercadona,EFE,2021-12-20 20:39:00,30.75
26361430,1189512,Mercadona,TAR,2021-12-20 20:01:00,8.45
26383576,1776886,Mercadona,EFE,2021-12-20 19:48:00,41.57
26353864,1217828,Mercadona,EFE,2021-12-20 19:15:00,57.24
26356495,1188152,Mercadona,TAR,2021-12-20 18:39:00,37.79
26340820,242603,Mercadona,TAR,2021-12-20 18:14:00,66.06
26325067,831701,Mercadona,EFE,2021-12-20 17:26:00,50.3
26319331,3720733,Mercadona,TAR,2021-12-20 16:50:00,20.48
26303734,192164,Mercadona,EFE,2021-12-20 16:03:00,7.86
26313295,3588022,Mercadona,TAR,2021-12-20 15:02:00,0.5
26308204,3757354,Mercadona,TAR,2021-12-20 15:02:00,5.27
26306173,3757354,Mercadona,TAR,2021-12-20 14:52:00,0.9
26309746,319418,Mercadona,TAR,2021-12-20 14:03:00,20.28
26335792,3759187,Mercadona,TAR,2021-12-20 13:24:00,40.97
26220172,2700235,Mercadona,TAR,2021-12-20 11:14:00,34.6
26176720,1991031,Mercadona,TAR,2021-12-18 19:38:00,93.82000000000001
26178070,3524337,Mercadona,TAR,2021-12-18 19:30:00,66.55
26160832,2627030,Mercadona,EFE,2021-12-18 13:45:00,82.78
26160727,2627030,Mercadona,EFE,2021-12-18 13:45:00,82.78
26160676,2627030,Mercadona,EFE,2021-12-18 13:45:00,82.78
26159188,2675100,Mercadona,TAR,2021-12-18 12:34:00,40.61
26136031,1237591,Mercadona,TAR,2021-12-18 09:45:00,183.15
26117947,1018538,Mercadona,EFE,2021-12-17 20:23:00,3.58
26175256,873117,Mercadona,TAR,2021-12-17 20:21:00,21.55
26126779,2388406,Mercadona,TAR,2021-12-17 18:26:00,60.19
26106895,483123,Mercadona,TAR,2021-12-17 18:19:00,12.42
26145559,1622466,Mercadona,TAR,2021-12-17 17:00:00,16.94
26092837,3406197,Mercadona,TAR,2021-12-17 15:08:00,17.35
26091370,921029,Mercadona,TAR,2021-12-17 14:38:00,1.15
26092225,1456451,Mercadona,EFE,2021-12-17 14:14:00,74.51
26090995,3438832,Mercadona,TAR,2021-12-17 14:09:00,10.99
26129386,935254,Mercadona,TAR,2021-12-17 14:06:00,50.49
26087419,3729361,Mercadona,EFE,2021-12-17 12:42:00,69.69
26082196,115683,Mercadona,EFE,2021-12-17 11:18:00,12.049999999999999
26106841,1029847,Mercadona,EFE,2021-12-17 11:10:00,46.08
26101849,2181026,Mercadona,EFE,2021-12-17 09:08:00,14.49
25994629,2505744,Mercadona,TAR,2021-12-16 16:08:00,19.4
25991812,3720733,Mercadona,TAR,2021-12-16 14:09:00,73.22
25965409,3711829,Mercadona,TAR,2021-12-16 12:41:00,5.86
27265837,3804066,Mercadona,EFE,2021-12-16 12:24:00,18.84
25963009,3729361,Mercadona,EFE,2021-12-16 11:30:00,40.24
25835755,3748933,Mercadona,TAR,2021-12-15 19:50:00,10.16
25827889,3556197,Mercadona,TAR,2021-12-15 16:52:00,13.739999999999998
25827880,3556197,Mercadona,TAR,2021-12-15 16:52:00,13.739999999999998
25827862,3556197,Mercadona,TAR,2021-12-15 16:52:00,13.739999999999998
25788652,921029,Mercadona,TAR,2021-12-14 14:50:00,4.5600000000000005
25787179,3711829,Mercadona,TAR,2021-12-14 13:06:00,8.4
25781782,1029847,Mercadona,EFE,2021-12-14 10:46:00,19.76
25786762,1033159,Mercadona,TAR,2021-12-14 10:38:00,42.589999999999996
25707877,2694175,Mercadona,TAR,2021-12-13 18:39:00,14.469999999999999
25753354,1744211,Mercadona,TAR,2021-12-13 12:34:00,21.48
25548052,1033673,Mercadona,TAR,2021-12-13 12:00:00,37.17
25550092,2388406,Mercadona,TAR,2021-12-13 11:36:00,47.43
25537990,1102210,Mercadona,TAR,2021-12-13 11:03:00,75.0
25753609,1744211,Mercadona,TAR,2021-12-13 10:01:00,0.69
25477054,3731740,Mercadona,TAR,2021-12-11 21:10:00,9.01
25474747,363694,Mercadona,TAR,2021-12-11 20:35:00,19.72
25490623,863647,Mercadona,TAR,2021-12-11 19:52:00,23.89
25468159,299937,Mercadona,TAR,2021-12-11 19:49:00,27.72
25495759,921620,Mercadona,TAR,2021-12-11 19:39:00,18.990000000000002
25458127,356816,Mercadona,TAR,2021-12-11 16:11:00,14.61
25494172,3732871,Mercadona,TAR,2021-12-11 14:12:00,1.95
25445491,696483,Mercadona,TAR,2021-12-11 13:36:00,45.95
25455214,2627030,Mercadona,EFE,2021-12-11 13:19:00,73.7
25431331,687352,Mercadona,TAR,2021-12-11 11:28:00,44.36
25444618,3726979,Mercadona,TAR,2021-12-11 11:12:00,26.150000000000002
25454104,3713656,Mercadona,EFE,2021-12-11 10:45:00,70.99
25421986,3677127,Mercadona,TAR,2021-12-10 21:14:00,50.65
25415617,3387727,Mercadona,TAR,2021-12-10 20:52:00,26.0
25415560,3387727,Mercadona,TAR,2021-12-10 20:52:00,26.0
25398370,2939665,Mercadona,TAR,2021-12-10 19:15:00,18.81
25391677,3359697,Mercadona,TAR,2021-12-10 18:38:00,97.0
25408702,1237591,Mercadona,TAR,2021-12-10 17:40:00,108.47
25408567,1237591,Mercadona,TAR,2021-12-10 17:40:00,119.84
25389769,186648,Mercadona,TAR,2021-12-10 17:34:00,7.25
25397881,2091106,Mercadona,TAR,2021-12-10 17:17:00,38.1
25397797,2091106,Mercadona,TAR,2021-12-10 17:17:00,37.9
25431715,3732997,Mercadona,EFE,2021-12-10 17:16:00,0.75
25369207,3632765,Mercadona,TAR,2021-12-10 17:09:00,45.18
25431580,3732997,Mercadona,EFE,2021-12-10 16:20:00,50.980000000000004
25378828,309543,Mercadona,TAR,2021-12-10 15:51:00,49.45
25372477,921620,Mercadona,TAR,2021-12-10 14:54:00,1.15
25372420,921029,Mercadona,TAR,2021-12-10 14:54:00,1.15
25371103,3296297,Mercadona,TAR,2021-12-10 14:38:00,51.22
25375246,3438832,Mercadona,TAR,2021-12-10 14:29:00,8.92
25399192,319418,Mercadona,EFE,2021-12-10 13:20:00,3.62
25427683,298915,Mercadona,EFE,2021-12-10 11:48:00,3.15
25428658,3266742,Mercadona,TAR,2021-12-10 11:38:00,91.73
25422283,3467772,Mercadona,DES,2021-12-10 11:36:00,47.03
25367395,115683,Mercadona,TAR,2021-12-10 11:30:00,9.62
25357924,3713158,Mercadona,EFE,2021-12-10 11:12:00,22.38
25389184,1029847,Mercadona,EFE,2021-12-10 10:42:00,27.86
25380715,3213772,Mercadona,TAR,2021-12-10 10:39:00,11.92
25342396,149716,Mercadona,TAR,2021-12-10 09:50:00,58.96
25342330,149716,Mercadona,TAR,2021-12-10 09:50:00,58.96
25355872,3632765,Mercadona,TAR,2021-12-10 00:00:00,63.660000000000004
25291600,3724078,Mercadona,TAR,2021-12-09 21:09:00,14.4
25290640,1776886,Mercadona,EFE,2021-12-09 21:03:00,2.85
25291414,1033159,Mercadona,EFE,2021-12-09 21:01:00,35.18
25291915,1173842,Mercadona,EFE,2021-12-09 21:00:00,5.5
25285624,1188152,Mercadona,TAR,2021-12-09 20:03:00,37.68
25277632,3065782,Mercadona,TAR,2021-12-09 19:55:00,72.89
25258918,2481752,Mercadona,EFE,2021-12-09 19:21:00,2.75
25282915,2722835,Mercadona,TAR,2021-12-09 19:14:00,66.53999999999999
25287634,242603,Mercadona,TAR,2021-12-09 19:11:00,78.32000000000001
25208140,1035174,Mercadona,TAR,2021-12-09 18:12:00,5.5
25056025,2625495,Mercadona,TAR,2021-12-09 14:16:00,8.09
27957634,3713806,Mercadona,TAR,2021-12-09 11:35:00,38.44
24832096,3707905,Mercadona,TAR,2021-12-07 18:11:00,64.64
24907186,3078717,Mercadona,TAR,2021-12-07 16:23:00,50.55
24793882,186648,Mercadona,TAR,2021-12-07 16:19:00,15.8
24919888,1194300,Mercadona,TAR,2021-12-07 14:39:00,36.11
25033990,2421670,Mercadona,TAR,2021-12-07 14:21:00,27.29
24752152,3309347,Mercadona,TAR,2021-12-07 13:21:00,52.36
24750778,3711829,Mercadona,TAR,2021-12-07 13:02:00,23.1
24803029,1033159,Mercadona,TAR,2021-12-07 11:39:00,57.11
24853924,363694,Mercadona,TAR,2021-12-07 11:27:00,11.79
24759802,1217828,Mercadona,EFE,2021-12-07 09:46:00,48.12
25018033,582472,Mercadona,EFE,2021-12-04 20:11:00,63.91
24687607,2627030,Mercadona,EFE,2021-12-04 14:00:00,72.28
24668311,687352,Mercadona,TAR,2021-12-04 11:23:00,53.73
25021888,3721642,Mercadona,EFE,2021-12-04 09:21:00,89.58
24647431,3359697,Mercadona,TAR,2021-12-03 20:12:00,55.81
24647617,2343949,Mercadona,TAR,2021-12-03 19:31:00,44.32
24645688,1456451,Mercadona,TAR,2021-12-03 19:17:00,57.45
24645640,1456451,Mercadona,TAR,2021-12-03 19:17:00,49.26
24650044,376303,Mercadona,TAR,2021-12-03 19:08:00,29.29
24643411,1188152,Mercadona,TAR,2021-12-03 18:47:00,44.63
24662593,3570527,Mercadona,EFE,2021-12-03 17:31:00,33.06
24643483,1188152,Mercadona,TAR,2021-12-03 16:47:00,44.63
24627898,921029,Mercadona,TAR,2021-12-03 14:51:00,1.15
24608839,921549,Mercadona,TAR,2021-12-03 14:47:00,11.91
25194172,1001586,Mercadona,EFE,2021-12-03 14:43:00,37.21
24669574,319418,Mercadona,TAR,2021-12-03 13:51:00,59.29
24631573,2731590,Mercadona,TAR,2021-12-03 12:58:00,65.0
24631492,2731590,Mercadona,TAR,2021-12-03 12:58:00,65.0
24667396,2935635,Mercadona,TAR,2021-12-03 12:18:00,26.95
24619735,1139340,Mercadona,TAR,2021-12-03 12:04:00,50.91
24622534,1217828,Mercadona,TAR,2021-12-03 09:22:00,49.339999999999996
24603700,3570527,Mercadona,TAR,2021-12-02 21:40:00,35.94
24603214,3570527,Mercadona,TAR,2021-12-02 21:40:00,35.94
24649351,3704842,Mercadona,TAR,2021-12-02 19:15:00,84.85
25004899,3632765,Mercadona,TAR,2021-12-02 17:09:00,45.18
25004665,3632765,Mercadona,TAR,2021-12-02 17:09:00,45.38
24591103,831701,Mercadona,EFE,2021-12-02 16:29:00,37.7
24575647,921620,Mercadona,TAR,2021-12-02 14:47:00,11.91
24575383,921029,Mercadona,TAR,2021-12-02 14:47:00,11.91
24573145,3153347,Mercadona,TAR,2021-12-02 14:13:00,16.17
24573007,1112243,Mercadona,TAR,2021-12-02 14:10:00,24.41
24555985,1033159,Mercadona,TAR,2021-12-01 20:54:00,31.150000000000002
24537931,483123,Mercadona,TAR,2021-12-01 18:05:00,7.18
24535621,1912406,Mercadona,TAR,2021-12-01 17:37:00,12.15
24548386,363694,Mercadona,TAR,2021-12-01 14:54:00,23.95
24597442,3493842,Mercadona,TAR,2021-12-01 10:54:00,82.42
24530467,3493842,Mercadona,TAR,2021-12-01 10:54:00,60.68
24529876,3493842,Mercadona,TAR,2021-12-01 10:54:00,82.32
24529738,3493842,Mercadona,TAR,2021-12-01 10:54:00,82.42
24611056,3701098,Mercadona,TAR,2021-12-01 10:41:00,41.62
24514213,1175048,Mercadona,TAR,2021-12-01 10:32:00,21.78
24535837,1217828,Mercadona,EFE,2021-12-01 09:40:00,75.09
24535729,1217828,Mercadona,EFE,2021-12-01 09:40:00,75.09
27288061,2030261,Carrefour,TAR,2021-12-30 22:19:00,11.75
27181693,2669720,Carrefour,TAR,2021-12-30 20:55:00,2.8099999999999996
27181597,2669720,Carrefour,TAR,2021-12-30 20:55:00,1.15
27165202,137231,Carrefour,TAR,2021-12-30 19:03:00,2.51
27152983,2625170,Carrefour,TAR,2021-12-30 17:55:00,17.07
27103489,1127665,Carrefour,TAR,2021-12-30 15:07:00,8.12
27090511,1127665,Carrefour,TAR,2021-12-30 14:25:00,2.92
27099676,1584331,Carrefour,TAR,2021-12-30 13:54:00,6.7
27099259,1584331,Carrefour,TAR,2021-12-30 13:53:00,11.38
27077569,109649,Carrefour,TAR,2021-12-30 13:44:00,47.43
27075982,109649,Carrefour,TAR,2021-12-30 13:44:00,37.45
27085537,1101089,Carrefour,TAR,2021-12-30 13:41:00,34.120000000000005
27056692,165881,Carrefour,EFE,2021-12-30 12:59:00,45.22
27048403,947334,Carrefour,TAR,2021-12-30 12:23:00,1.66
27128809,951894,Carrefour,EFE,2021-12-30 00:00:00,1.66
27208339,2625170,Carrefour,TAR,2021-12-29 19:32:00,50.5
27046738,2625170,Carrefour,EFE,2021-12-29 17:43:00,3.5
27027555,3141982,Carrefour,EFE,2021-12-29 12:55:00,1.0699999999999998
27012144,1101089,Carrefour,TAR,2021-12-29 07:35:00,27.25
27315223,1186659,Carrefour,EFE,2021-12-28 21:57:00,27.05
27000135,1005751,Carrefour,TAR,2021-12-28 20:14:00,8.6
